timestamp_ms,H,V,etiqueta
1779165732961,-123.2,-123.2,arriba
1779165732961,-123.31,-123.31,arriba
1779165732961,-127.41,-127.41,arriba
1779165732962,-125.1,-125.1,arriba
1779165732989,-127.02,-127.02,arriba
1779165732989,-128.75,-128.75,arriba
1779165732990,-126.31,-126.31,arriba
1779165732990,-128.11,-128.11,arriba
1779165732991,-129.73,-129.73,arriba
1779165733009,-127.19,-127.19,arriba
1779165733010,-128.9,-128.9,arriba
1779165733010,-124.45,-124.45,arriba
1779165733035,-118.43,-118.43,arriba
1779165733035,-119.02,-119.02,arriba
1779165733037,-113.55,-113.55,arriba
1779165733037,-110.63,-110.63,arriba
1779165733063,-108.0,-108.0,arriba
1779165733063,-97.63,-97.63,arriba
1779165733063,-94.3,-94.3,arriba
1779165733064,-91.3,-91.3,arriba
1779165733064,-84.6,-84.6,arriba
1779165733090,-84.57,-84.57,arriba
1779165733090,-78.55,-78.55,arriba
1779165733090,-71.13,-71.13,arriba
1779165733091,-72.45,-72.45,arriba
1779165733116,-65.63,-65.63,arriba
1779165733116,-59.5,-59.5,arriba
1779165733117,-57.98,-57.98,arriba
1779165733117,-50.62,-50.62,arriba
1779165733117,-53.99,-53.99,arriba
1779165733143,-55.02,-55.02,arriba
1779165733144,-53.95,-53.95,arriba
1779165733144,-60.99,-60.99,arriba
1779165733144,-63.32,-63.32,arriba
1779165733170,-63.42,-63.42,arriba
1779165733170,-67.51,-67.51,arriba
1779165733171,-65.19,-65.19,arriba
1779165733171,-65.1,-65.1,arriba
1779165733196,-67.03,-67.03,arriba
1779165733196,-64.76,-64.76,arriba
1779165733197,-64.71,-64.71,arriba
1779165733197,-64.67,-64.67,arriba
1779165733222,-60.64,-60.64,arriba
1779165733223,-61.01,-61.01,arriba
1779165733223,-59.34,-59.34,arriba
1779165733224,-57.84,-57.84,arriba
1779165733224,-54.48,-54.48,arriba
1779165733250,-45.47,-45.47,arriba
1779165733250,-35.35,-35.35,arriba
1779165733250,-24.25,-24.25,arriba
1779165733251,1.74,1.74,arriba
1779165733276,33.14,33.14,arriba
1779165733277,73.39,73.39,arriba
1779165733277,125.62,125.62,arriba
1779165733277,176.63,176.63,arriba
1779165733278,232.53,232.53,arriba
1779165733303,300.85,300.85,arriba
1779165733303,368.33,368.33,arriba
1779165733304,437.06,437.06,arriba
1779165733304,510.93,510.93,arriba
1779165733330,585.4,585.4,arriba
1779165733330,648.43,648.43,arriba
1779165733331,721.15,721.15,arriba
1779165733331,794.61,794.61,arriba
1779165733331,860.71,860.71,arriba
1779165733358,902.21,902.21,arriba
1779165733384,931.56,931.56,arriba
1779165733385,979.97,979.97,arriba
1779165733412,982.55,982.55,arriba
1779165733413,933.87,933.87,arriba
1779165733413,934.05,934.05,arriba
1779165733440,918.21,918.21,arriba
1779165733441,911.96,911.96,arriba
1779165733441,918.33,918.33,arriba
1779165733441,892.07,892.07,arriba
1779165733442,854.43,854.43,arriba
1779165733468,822.55,822.55,arriba
1779165733469,791.86,791.86,arriba
1779165733469,764.25,764.25,arriba
1779165733469,737.39,737.39,arriba
1779165733496,701.22,701.22,arriba
1779165733496,670.66,670.66,arriba
1779165733497,599.17,599.17,arriba
1779165733497,576.82,576.82,arriba
1779165733497,562.7,562.7,arriba
1779165733524,550.0,550.0,arriba
1779165733524,582.57,582.57,arriba
1779165733525,613.88,613.88,arriba
1779165733525,600.06,600.06,arriba
1779165733551,587.62,587.62,arriba
1779165733552,618.43,618.43,arriba
1779165733552,622.15,622.15,arriba
1779165733552,623.51,623.51,arriba
1779165733553,570.72,570.72,arriba
1779165733579,563.22,563.22,arriba
1779165733580,598.46,598.46,arriba
1779165733580,620.19,620.19,arriba
1779165733580,627.74,627.74,arriba
1779165733581,680.53,680.53,arriba
1779165733607,734.05,734.05,arriba
1779165733608,716.21,716.21,arriba
1779165733608,744.16,744.16,arriba
1779165733608,715.31,715.31,arriba
1779165733634,777.35,777.35,arriba
1779165733635,839.18,839.18,arriba
1779165733635,860.83,860.83,arriba
1779165733636,846.31,846.31,arriba
1779165733662,873.25,873.25,arriba
1779165733662,897.49,897.49,arriba
1779165733663,935.31,935.31,arriba
1779165733663,953.35,953.35,arriba
1779165733845,990.38,990.38,arriba
1779165733872,976.91,976.91,arriba
1779165733874,952.28,952.28,arriba
1779165733875,900.62,900.62,arriba
1779165733901,888.12,888.12,arriba
1779165733901,920.88,920.88,arriba
1779165733902,918.36,918.36,arriba
1779165733902,882.09,882.09,arriba
1779165733903,819.45,819.45,arriba
1779165733929,833.07,833.07,arriba
1779165733929,831.33,831.33,arriba
1779165733930,847.77,847.77,arriba
1779165733930,816.56,816.56,arriba
1779165733957,814.47,814.47,arriba
1779165733957,778.59,778.59,arriba
1779165733958,754.3,754.3,arriba
1779165733958,752.44,752.44,arriba
1779165733958,758.76,758.76,arriba
1779165733985,786.45,786.45,arriba
1779165733985,761.38,761.38,arriba
1779165733986,714.81,714.81,arriba
1779165733986,670.89,670.89,arriba
1779165733986,709.37,709.37,arriba
1779165734013,756.0,756.0,arriba
1779165734013,701.97,701.97,arriba
1779165734013,689.34,689.34,arriba
1779165734014,741.98,741.98,arriba
1779165734040,715.35,715.35,arriba
1779165734041,731.38,731.38,arriba
1779165734041,755.81,755.81,arriba
1779165734041,747.8,747.8,arriba
1779165734068,762.58,762.58,arriba
1779165734068,767.89,767.89,arriba
1779165734069,738.67,738.67,arriba
1779165734069,766.37,766.37,arriba
1779165734070,797.3,797.3,arriba
1779165734096,785.14,785.14,arriba
1779165734096,762.2,762.2,arriba
1779165734097,737.54,737.54,arriba
1779165734097,727.36,727.36,arriba
1779165734098,702.19,702.19,arriba
1779165734124,645.54,645.54,arriba
1779165734124,584.55,584.55,arriba
1779165734125,511.67,511.67,arriba
1779165734125,426.07,426.07,arriba
1779165734152,335.03,335.03,arriba
1779165734152,233.09,233.09,arriba
1779165734152,127.35,127.35,arriba
1779165734153,22.18,22.18,arriba
